treatment,size,dilution,task_id,finished,solved
cohort,5,0_95000,44,True,False
cohort,5,0_95000,45,True,False
cohort,5,0_95000,46,True,False
cohort,5,0_95000,47,True,False
cohort,5,0_95000,48,True,False
cohort,5,0_95000,49,True,False
cohort,5,0_95000,50,True,False
downsampled,100,0_00000,1,True,False
downsampled,100,0_00000,2,True,False
downsampled,100,0_00000,3,True,False
downsampled,100,0_00000,4,True,False
downsampled,100,0_00000,5,True,True
downsampled,100,0_00000,6,True,False
downsampled,100,0_00000,7,True,False
downsampled,100,0_00000,8,True,False
downsampled,100,0_00000,9,True,False
downsampled,100,0_00000,10,True,False
downsampled,100,0_00000,11,True,False
downsampled,100,0_00000,12,True,False
downsampled,100,0_00000,13,True,False
downsampled,100,0_00000,14,True,False
downsampled,100,0_00000,15,True,False
downsampled,100,0_00000,16,True,False
downsampled,100,0_00000,17,True,False
downsampled,100,0_00000,18,True,False
downsampled,100,0_00000,19,True,False
downsampled,100,0_00000,20,True,False
downsampled,100,0_00000,21,True,False
downsampled,100,0_00000,22,True,False
downsampled,100,0_00000,23,True,False
downsampled,100,0_00000,24,True,False
downsampled,100,0_00000,25,True,False
downsampled,100,0_00000,26,True,False
downsampled,100,0_00000,27,True,False
downsampled,100,0_00000,28,True,False
downsampled,100,0_00000,29,True,False
downsampled,100,0_00000,30,True,False
downsampled,100,0_00000,31,True,False
downsampled,100,0_00000,32,True,True
downsampled,100,0_00000,33,True,False
downsampled,100,0_00000,34,True,False
downsampled,100,0_00000,35,True,False
downsampled,100,0_00000,36,True,False
downsampled,100,0_00000,37,True,False
downsampled,100,0_00000,38,True,False
downsampled,100,0_00000,39,True,False
downsampled,100,0_00000,40,True,False
downsampled,100,0_00000,41,True,False
downsampled,100,0_00000,42,True,False
downsampled,100,0_00000,43,True,False
downsampled,100,0_00000,44,True,False
downsampled,100,0_00000,45,True,False
downsampled,100,0_00000,46,True,False
downsampled,100,0_00000,47,True,False
downsampled,100,0_00000,48,True,False
downsampled,100,0_00000,49,True,False
downsampled,100,0_00000,50,True,False
downsampled,100,0_50000,1,True,False
downsampled,100,0_50000,2,True,False
downsampled,100,0_50000,3,True,False
downsampled,100,0_50000,4,True,False
downsampled,100,0_50000,5,True,False
downsampled,100,0_50000,6,True,False
downsampled,100,0_50000,7,True,False
downsampled,100,0_50000,8,True,False
downsampled,100,0_50000,9,True,False
downsampled,100,0_50000,10,True,False
downsampled,100,0_50000,11,True,False
downsampled,100,0_50000,12,True,False
downsampled,100,0_50000,13,True,False
downsampled,100,0_50000,14,True,False
downsampled,100,0_50000,15,True,False
downsampled,100,0_50000,16,True,False
downsampled,100,0_50000,17,True,False
downsampled,100,0_50000,18,True,False
downsampled,100,0_50000,19,True,False
downsampled,100,0_50000,20,True,False
downsampled,100,0_50000,21,True,False
downsampled,100,0_50000,22,True,False
downsampled,100,0_50000,23,True,False
downsampled,100,0_50000,24,True,False
downsampled,100,0_50000,25,True,False
downsampled,100,0_50000,26,True,False
downsampled,100,0_50000,27,True,False
downsampled,100,0_50000,28,True,False
downsampled,100,0_50000,29,True,False
downsampled,100,0_50000,30,True,False
downsampled,100,0_50000,31,True,False
downsampled,100,0_50000,32,True,False
downsampled,100,0_50000,33,True,False
downsampled,100,0_50000,34,True,False
downsampled,100,0_50000,35,True,False
downsampled,100,0_50000,36,True,False
downsampled,100,0_50000,37,True,False
downsampled,100,0_50000,38,False,False
downsampled,100,0_50000,39,True,False
downsampled,100,0_50000,40,True,False
downsampled,100,0_50000,41,True,False
downsampled,100,0_50000,42,True,False
downsampled,100,0_50000,43,True,False
downsampled,100,0_50000,44,True,False
downsampled,100,0_50000,45,True,False
downsampled,100,0_50000,46,True,False
downsampled,100,0_50000,47,True,True
downsampled,100,0_50000,48,True,False
downsampled,100,0_50000,49,True,False
downsampled,100,0_50000,50,True,False
downsampled,100,0_75000,1,True,False
downsampled,100,0_75000,2,True,False
downsampled,100,0_75000,3,True,False
downsampled,100,0_75000,4,True,False
downsampled,100,0_75000,5,True,False
downsampled,100,0_75000,6,True,True
downsampled,100,0_75000,7,True,False
downsampled,100,0_75000,8,True,False
downsampled,100,0_75000,9,True,False
downsampled,100,0_75000,10,True,False
downsampled,100,0_75000,11,True,False
downsampled,100,0_75000,12,True,False
downsampled,100,0_75000,13,True,False
downsampled,100,0_75000,14,True,False
downsampled,100,0_75000,15,True,False
downsampled,100,0_75000,16,True,False
downsampled,100,0_75000,17,True,False
downsampled,100,0_75000,18,True,False
downsampled,100,0_75000,19,True,False
downsampled,100,0_75000,20,True,False
downsampled,100,0_75000,21,True,False
downsampled,100,0_75000,22,True,False
downsampled,100,0_75000,23,True,False
downsampled,100,0_75000,24,True,False
downsampled,100,0_75000,25,True,False
downsampled,100,0_75000,26,True,False
downsampled,100,0_75000,27,True,False
downsampled,100,0_75000,28,True,False
downsampled,100,0_75000,29,True,False
downsampled,100,0_75000,30,True,True
downsampled,100,0_75000,31,True,False
downsampled,100,0_75000,32,True,False
downsampled,100,0_75000,33,True,False
downsampled,100,0_75000,34,True,False
downsampled,100,0_75000,35,True,False
downsampled,100,0_75000,36,True,False
downsampled,100,0_75000,37,True,False
downsampled,100,0_75000,38,True,False
downsampled,100,0_75000,39,True,False
downsampled,100,0_75000,40,True,False
downsampled,100,0_75000,43,True,False
downsampled,100,0_75000,44,True,False
downsampled,100,0_75000,47,True,False
downsampled,100,0_75000,48,True,False
downsampled,100,0_75000,49,True,False
downsampled,100,0_75000,50,True,False
downsampled,100,0_90000,1,True,False
downsampled,100,0_90000,2,True,False
downsampled,100,0_90000,3,True,False
downsampled,100,0_90000,4,True,False
downsampled,100,0_90000,5,True,False
downsampled,100,0_90000,6,True,False
downsampled,100,0_90000,7,True,False
downsampled,100,0_90000,8,True,False
downsampled,100,0_90000,9,True,False
downsampled,100,0_90000,10,True,False
downsampled,100,0_90000,11,True,False
downsampled,100,0_90000,12,True,False
downsampled,100,0_90000,13,True,False
downsampled,100,0_90000,14,True,False
downsampled,100,0_90000,15,True,False
downsampled,100,0_90000,16,True,False
downsampled,100,0_90000,17,True,False
downsampled,100,0_90000,18,True,False
downsampled,100,0_90000,19,True,False
downsampled,100,0_90000,20,True,False
downsampled,100,0_90000,21,True,False
downsampled,100,0_90000,22,True,False
downsampled,100,0_90000,23,True,False
downsampled,100,0_90000,24,True,False
downsampled,100,0_90000,25,True,False
downsampled,100,0_90000,26,True,False
downsampled,100,0_90000,27,True,False
downsampled,100,0_90000,28,True,False
downsampled,100,0_90000,29,True,False
downsampled,100,0_90000,30,True,False
downsampled,100,0_90000,31,True,False
downsampled,100,0_90000,32,True,False
downsampled,100,0_90000,33,True,False
downsampled,100,0_90000,34,True,False
downsampled,100,0_90000,35,True,False
downsampled,100,0_90000,36,True,False
downsampled,100,0_90000,37,True,False
downsampled,100,0_90000,38,True,False
downsampled,100,0_90000,39,True,False
downsampled,100,0_90000,40,True,False
downsampled,100,0_90000,41,True,False
downsampled,100,0_90000,42,True,False
downsampled,100,0_90000,43,True,False
downsampled,100,0_90000,44,True,False
downsampled,100,0_90000,45,True,False
downsampled,100,0_90000,46,True,False
downsampled,100,0_90000,47,True,False
downsampled,100,0_90000,48,True,False
downsampled,100,0_90000,49,True,False
downsampled,100,0_90000,50,True,False
downsampled,100,0_95000,1,True,False
downsampled,100,0_95000,2,True,False
downsampled,100,0_95000,3,True,False
downsampled,100,0_95000,4,True,False
downsampled,100,0_95000,5,True,False
downsampled,100,0_95000,6,True,False
downsampled,100,0_95000,7,True,False
downsampled,100,0_95000,8,True,False
downsampled,100,0_95000,9,True,False
downsampled,100,0_95000,10,True,False
downsampled,100,0_95000,11,True,False
downsampled,100,0_95000,12,True,False
downsampled,100,0_95000,15,True,False
downsampled,100,0_95000,16,True,False
downsampled,100,0_95000,17,True,False
downsampled,100,0_95000,18,True,False
downsampled,100,0_95000,19,True,False
downsampled,100,0_95000,20,True,False
downsampled,100,0_95000,21,True,False
downsampled,100,0_95000,22,True,False
downsampled,100,0_95000,23,True,False
downsampled,100,0_95000,24,True,False
downsampled,100,0_95000,25,True,False
downsampled,100,0_95000,26,True,False
downsampled,100,0_95000,27,True,False
downsampled,100,0_95000,28,True,False
downsampled,100,0_95000,29,True,False
downsampled,100,0_95000,30,True,False
downsampled,100,0_95000,31,True,False
downsampled,100,0_95000,32,True,False
downsampled,100,0_95000,33,True,False
downsampled,100,0_95000,34,True,False
downsampled,100,0_95000,35,True,False
downsampled,100,0_95000,36,True,False
downsampled,100,0_95000,37,True,False
downsampled,100,0_95000,38,True,False
downsampled,100,0_95000,39,True,False
downsampled,100,0_95000,40,True,False
downsampled,100,0_95000,41,True,False
downsampled,100,0_95000,42,True,False
downsampled,100,0_95000,43,True,False
downsampled,100,0_95000,44,True,False
downsampled,100,0_95000,45,True,False
downsampled,100,0_95000,46,True,False
downsampled,100,0_95000,47,True,False
downsampled,100,0_95000,48,True,False
downsampled,100,0_95000,49,True,False
downsampled,100,0_95000,50,True,False
downsampled,50,0_00000,1,True,False
downsampled,50,0_00000,2,True,False
downsampled,50,0_00000,3,True,False
downsampled,50,0_00000,4,True,False
downsampled,50,0_00000,5,True,False
downsampled,50,0_00000,6,True,False
downsampled,50,0_00000,7,True,False
downsampled,50,0_00000,8,True,False
downsampled,50,0_00000,9,True,False
downsampled,50,0_00000,10,True,False
downsampled,50,0_00000,11,False,False
downsampled,50,0_00000,12,True,False
downsampled,50,0_00000,13,True,False
downsampled,50,0_00000,14,True,False
downsampled,50,0_00000,15,True,False
downsampled,50,0_00000,16,True,False
downsampled,50,0_00000,17,True,False
downsampled,50,0_00000,18,True,False
downsampled,50,0_00000,19,True,False
downsampled,50,0_00000,20,True,False
downsampled,50,0_00000,21,True,False
downsampled,50,0_00000,22,True,False
downsampled,50,0_00000,23,True,False
downsampled,50,0_00000,24,True,False
downsampled,50,0_00000,25,True,False
downsampled,50,0_00000,26,True,False
downsampled,50,0_00000,27,True,False
downsampled,50,0_00000,28,False,False
downsampled,50,0_00000,29,True,False
downsampled,50,0_00000,30,True,True
downsampled,50,0_00000,31,False,False
downsampled,50,0_00000,32,True,True
downsampled,50,0_00000,33,True,False
downsampled,50,0_00000,34,True,False
downsampled,50,0_00000,35,True,True
downsampled,50,0_00000,36,True,False
downsampled,50,0_00000,37,True,False
downsampled,50,0_00000,38,False,False
downsampled,50,0_00000,39,True,False
downsampled,50,0_00000,40,True,False
downsampled,50,0_00000,41,True,False
downsampled,50,0_00000,42,True,False
downsampled,50,0_00000,43,True,False
downsampled,50,0_00000,44,True,False
downsampled,50,0_00000,45,True,False
downsampled,50,0_00000,46,True,False
downsampled,50,0_00000,47,True,False
downsampled,50,0_00000,48,True,False
downsampled,50,0_00000,49,True,True
downsampled,50,0_00000,50,True,False
downsampled,50,0_50000,1,True,False
downsampled,50,0_50000,2,True,False
downsampled,50,0_50000,3,True,False
downsampled,50,0_50000,4,True,False
downsampled,50,0_50000,5,True,False
downsampled,50,0_50000,6,True,False
downsampled,50,0_50000,7,True,False
downsampled,50,0_50000,8,True,False
downsampled,50,0_50000,9,True,False
downsampled,50,0_50000,10,True,False
downsampled,50,0_50000,11,True,False
downsampled,50,0_50000,12,True,False
downsampled,50,0_50000,13,True,True
downsampled,50,0_50000,14,True,False
downsampled,50,0_50000,15,True,False
downsampled,50,0_50000,16,True,False
downsampled,50,0_50000,17,True,False
downsampled,50,0_50000,18,False,False
downsampled,50,0_50000,19,True,False
downsampled,50,0_50000,20,True,False
downsampled,50,0_50000,21,True,False
downsampled,50,0_50000,22,True,False
downsampled,50,0_50000,23,True,False
downsampled,50,0_50000,24,True,False
downsampled,50,0_50000,25,True,False
downsampled,50,0_50000,26,True,False
downsampled,50,0_50000,27,True,False
downsampled,50,0_50000,28,True,False
downsampled,50,0_50000,29,True,False
downsampled,50,0_50000,30,True,False
downsampled,50,0_50000,31,True,True
downsampled,50,0_50000,32,True,False
downsampled,50,0_50000,33,True,False
downsampled,50,0_50000,34,True,False
downsampled,50,0_50000,35,True,True
downsampled,50,0_50000,36,True,False
downsampled,50,0_50000,37,True,False
downsampled,50,0_50000,38,True,True
downsampled,50,0_50000,39,True,False
downsampled,50,0_50000,40,True,True
downsampled,50,0_50000,41,True,False
downsampled,50,0_50000,42,True,False
downsampled,50,0_50000,43,True,True
downsampled,50,0_50000,44,True,False
downsampled,50,0_50000,45,False,False
downsampled,50,0_50000,46,True,False
downsampled,50,0_50000,47,True,False
downsampled,50,0_50000,48,True,False
downsampled,50,0_50000,49,True,False
downsampled,50,0_50000,50,True,False
downsampled,50,0_75000,1,True,False
downsampled,50,0_75000,2,True,False
downsampled,50,0_75000,3,True,False
downsampled,50,0_75000,4,True,False
downsampled,50,0_75000,5,True,False
downsampled,50,0_75000,6,False,False
downsampled,50,0_75000,7,True,False
downsampled,50,0_75000,8,True,False
downsampled,50,0_75000,9,True,False
downsampled,50,0_75000,10,True,False
downsampled,50,0_75000,11,True,False
downsampled,50,0_75000,12,True,False
downsampled,50,0_75000,13,True,False
downsampled,50,0_75000,14,True,False
downsampled,50,0_75000,15,True,False
downsampled,50,0_75000,16,True,False
downsampled,50,0_75000,17,True,False
downsampled,50,0_75000,18,True,False
downsampled,50,0_75000,19,True,False
downsampled,50,0_75000,20,True,False
downsampled,50,0_75000,21,True,False
downsampled,50,0_75000,22,True,False
downsampled,50,0_75000,23,True,False
downsampled,50,0_75000,24,True,False
downsampled,50,0_75000,25,True,False
downsampled,50,0_75000,26,True,False
downsampled,50,0_75000,27,True,False
downsampled,50,0_75000,28,True,False
downsampled,50,0_75000,29,True,False
downsampled,50,0_75000,30,True,False
downsampled,50,0_75000,31,True,False
downsampled,50,0_75000,32,True,False
downsampled,50,0_75000,33,True,False
downsampled,50,0_75000,34,True,False
downsampled,50,0_75000,35,True,False
downsampled,50,0_75000,36,True,False
downsampled,50,0_75000,37,True,False
downsampled,50,0_75000,38,True,False
downsampled,50,0_75000,39,True,False
downsampled,50,0_75000,40,True,False
downsampled,50,0_75000,41,True,False
downsampled,50,0_75000,42,True,False
downsampled,50,0_75000,43,True,False
downsampled,50,0_75000,44,True,False
downsampled,50,0_75000,45,True,False
downsampled,50,0_75000,46,True,False
downsampled,50,0_75000,47,True,False
downsampled,50,0_75000,48,True,False
downsampled,50,0_75000,49,True,False
downsampled,50,0_75000,50,True,False
downsampled,50,0_90000,1,True,False
downsampled,50,0_90000,2,True,False
downsampled,50,0_90000,3,True,False
downsampled,50,0_90000,4,True,False
downsampled,50,0_90000,5,True,False
downsampled,50,0_90000,6,True,False
downsampled,50,0_90000,7,True,False
downsampled,50,0_90000,8,True,False
downsampled,50,0_90000,9,True,False
downsampled,50,0_90000,10,True,False
downsampled,50,0_90000,11,True,False
downsampled,50,0_90000,12,True,False
downsampled,50,0_90000,13,True,True
downsampled,50,0_90000,14,True,False
downsampled,50,0_90000,15,True,False
downsampled,50,0_90000,16,True,False
downsampled,50,0_90000,17,True,False
downsampled,50,0_90000,18,True,False
downsampled,50,0_90000,19,True,False
downsampled,50,0_90000,20,True,False
downsampled,50,0_90000,21,True,False
downsampled,50,0_90000,22,True,False
downsampled,50,0_90000,23,True,False
downsampled,50,0_90000,24,True,False
downsampled,50,0_90000,25,True,False
downsampled,50,0_90000,26,True,False
downsampled,50,0_90000,27,True,False
downsampled,50,0_90000,28,True,False
downsampled,50,0_90000,29,True,False
downsampled,50,0_90000,30,True,False
downsampled,50,0_90000,31,True,False
downsampled,50,0_90000,32,True,False
downsampled,50,0_90000,33,True,False
downsampled,50,0_90000,34,True,False
downsampled,50,0_90000,35,True,False
downsampled,50,0_90000,36,True,False
downsampled,50,0_90000,37,True,False
downsampled,50,0_90000,38,True,False
downsampled,50,0_90000,39,True,False
downsampled,50,0_90000,40,True,False
downsampled,50,0_90000,41,True,False
downsampled,50,0_90000,42,True,False
downsampled,50,0_90000,43,True,False
downsampled,50,0_90000,44,True,False
downsampled,50,0_90000,45,True,False
downsampled,50,0_90000,46,False,False
downsampled,50,0_90000,47,True,False
downsampled,50,0_90000,48,True,False
downsampled,50,0_90000,49,True,False
downsampled,50,0_90000,50,True,False
downsampled,50,0_95000,1,True,False
downsampled,50,0_95000,2,True,False
downsampled,50,0_95000,3,True,False
downsampled,50,0_95000,4,True,False
downsampled,50,0_95000,5,True,False
downsampled,50,0_95000,6,True,False
downsampled,50,0_95000,7,True,False
downsampled,50,0_95000,8,True,False
downsampled,50,0_95000,9,True,False
downsampled,50,0_95000,10,True,False
downsampled,50,0_95000,11,True,False
downsampled,50,0_95000,12,True,False
downsampled,50,0_95000,13,True,False
downsampled,50,0_95000,14,True,False
downsampled,50,0_95000,15,True,False
downsampled,50,0_95000,16,True,False
downsampled,50,0_95000,17,True,False
downsampled,50,0_95000,18,True,False
downsampled,50,0_95000,19,True,False
downsampled,50,0_95000,20,True,False
downsampled,50,0_95000,21,True,False
downsampled,50,0_95000,22,True,False
downsampled,50,0_95000,23,True,False
downsampled,50,0_95000,24,True,False
downsampled,50,0_95000,25,True,False
downsampled,50,0_95000,26,True,False
downsampled,50,0_95000,27,True,False
downsampled,50,0_95000,28,True,False
downsampled,50,0_95000,29,True,False
downsampled,50,0_95000,30,True,False
downsampled,50,0_95000,31,True,False
downsampled,50,0_95000,32,True,False
downsampled,50,0_95000,33,True,False
downsampled,50,0_95000,34,True,False
downsampled,50,0_95000,35,True,False
downsampled,50,0_95000,36,True,False
downsampled,50,0_95000,37,True,False
downsampled,50,0_95000,38,True,False
downsampled,50,0_95000,39,True,False
downsampled,50,0_95000,40,True,False
downsampled,50,0_95000,41,True,False
downsampled,50,0_95000,42,True,False
downsampled,50,0_95000,43,True,False
downsampled,50,0_95000,44,True,False
downsampled,50,0_95000,45,True,False
downsampled,50,0_95000,46,True,False
downsampled,50,0_95000,47,True,False
downsampled,50,0_95000,48,True,False
downsampled,50,0_95000,49,True,False
downsampled,50,0_95000,50,True,False
downsampled,25,0_00000,1,True,False
downsampled,25,0_00000,2,True,False
downsampled,25,0_00000,3,True,False
downsampled,25,0_00000,4,True,False
downsampled,25,0_00000,5,True,False
downsampled,25,0_00000,6,True,False
downsampled,25,0_00000,7,False,False
downsampled,25,0_00000,8,True,False
downsampled,25,0_00000,9,True,False
downsampled,25,0_00000,10,True,False
downsampled,25,0_00000,11,True,False
downsampled,25,0_00000,12,True,False
downsampled,25,0_00000,13,True,False
downsampled,25,0_00000,14,True,True
downsampled,25,0_00000,15,True,False
downsampled,25,0_00000,16,True,False
downsampled,25,0_00000,17,True,False
downsampled,25,0_00000,18,False,False
downsampled,25,0_00000,19,False,False
downsampled,25,0_00000,20,True,False
downsampled,25,0_00000,21,True,True
downsampled,25,0_00000,22,True,False
downsampled,25,0_00000,23,True,False
downsampled,25,0_00000,24,True,False
downsampled,25,0_00000,25,True,False
downsampled,25,0_00000,26,False,False
downsampled,25,0_00000,27,True,False
downsampled,25,0_00000,28,False,False
downsampled,25,0_00000,29,True,True
downsampled,25,0_00000,30,True,False
downsampled,25,0_00000,31,True,False
downsampled,25,0_00000,32,True,False
downsampled,25,0_00000,33,True,False
downsampled,25,0_00000,34,True,False
downsampled,25,0_00000,35,True,False
downsampled,25,0_00000,36,False,False
downsampled,25,0_00000,37,False,False
downsampled,25,0_00000,38,True,False
downsampled,25,0_00000,39,True,False
downsampled,25,0_00000,40,True,False
downsampled,25,0_00000,41,True,False
downsampled,25,0_00000,42,True,False
downsampled,25,0_00000,43,True,False
downsampled,25,0_00000,44,True,True
downsampled,25,0_00000,45,True,False
downsampled,25,0_00000,46,True,False
downsampled,25,0_00000,47,True,True
downsampled,25,0_00000,48,True,False
downsampled,25,0_00000,49,True,False
downsampled,25,0_00000,50,True,True
downsampled,25,0_50000,1,True,False
downsampled,25,0_50000,2,False,False
downsampled,25,0_50000,3,False,False
downsampled,25,0_50000,4,True,False
downsampled,25,0_50000,5,True,False
downsampled,25,0_50000,6,True,False
downsampled,25,0_50000,7,True,False
downsampled,25,0_50000,8,True,False
downsampled,25,0_50000,9,True,False
downsampled,25,0_50000,10,True,False
downsampled,25,0_50000,11,True,False
downsampled,25,0_50000,12,True,False
downsampled,25,0_50000,13,True,False
downsampled,25,0_50000,14,True,False
downsampled,25,0_50000,15,True,False
downsampled,25,0_50000,16,False,False
downsampled,25,0_50000,17,True,False
downsampled,25,0_50000,18,True,False
downsampled,25,0_50000,19,False,False
downsampled,25,0_50000,20,False,False
downsampled,25,0_50000,21,True,False
downsampled,25,0_50000,22,True,False
downsampled,25,0_50000,23,True,False
downsampled,25,0_50000,24,True,False
downsampled,25,0_50000,25,True,False
downsampled,25,0_50000,26,True,True
downsampled,25,0_50000,27,True,False
downsampled,25,0_50000,28,True,False
downsampled,25,0_50000,29,True,False
downsampled,25,0_50000,30,True,False
downsampled,25,0_50000,31,True,True
downsampled,25,0_50000,32,True,False
downsampled,25,0_50000,33,True,False
downsampled,25,0_50000,34,False,False
downsampled,25,0_50000,35,True,False
downsampled,25,0_50000,36,True,False
downsampled,25,0_50000,37,True,True
downsampled,25,0_50000,38,True,False
downsampled,25,0_50000,39,True,False
downsampled,25,0_50000,40,True,False
downsampled,25,0_50000,41,True,False
downsampled,25,0_50000,42,True,False
downsampled,25,0_50000,43,True,False
downsampled,25,0_50000,44,True,False
downsampled,25,0_50000,45,True,False
downsampled,25,0_50000,46,True,False
downsampled,25,0_50000,47,True,False
downsampled,25,0_50000,48,True,False
downsampled,25,0_50000,49,False,False
downsampled,25,0_50000,50,False,False
downsampled,25,0_75000,1,True,False
downsampled,25,0_75000,2,True,False
downsampled,25,0_75000,3,True,False
downsampled,25,0_75000,4,True,True
downsampled,25,0_75000,5,True,False
downsampled,25,0_75000,6,False,False
downsampled,25,0_75000,7,True,False
downsampled,25,0_75000,8,True,True
downsampled,25,0_75000,9,False,False
downsampled,25,0_75000,10,True,True
downsampled,25,0_75000,11,False,False
downsampled,25,0_75000,12,True,False
downsampled,25,0_75000,13,True,True
downsampled,25,0_75000,14,True,True
downsampled,25,0_75000,15,True,False
downsampled,25,0_75000,16,True,True
downsampled,25,0_75000,17,True,False
downsampled,25,0_75000,18,True,False
downsampled,25,0_75000,19,True,False
downsampled,25,0_75000,20,True,False
downsampled,25,0_75000,21,True,False
downsampled,25,0_75000,22,True,False
downsampled,25,0_75000,23,True,False
downsampled,25,0_75000,24,True,False
downsampled,25,0_75000,25,True,False
downsampled,25,0_75000,26,True,False
downsampled,25,0_75000,27,True,False
downsampled,25,0_75000,28,True,False
downsampled,25,0_75000,29,True,False
downsampled,25,0_75000,30,True,False
downsampled,25,0_75000,31,True,True
downsampled,25,0_75000,32,True,True
downsampled,25,0_75000,33,True,True
downsampled,25,0_75000,34,True,True
downsampled,25,0_75000,35,True,True
downsampled,25,0_75000,36,True,True
downsampled,25,0_75000,37,True,False
downsampled,25,0_75000,38,True,False
downsampled,25,0_75000,39,True,False
downsampled,25,0_75000,40,True,False
downsampled,25,0_75000,41,True,False
downsampled,25,0_75000,42,True,False
downsampled,25,0_75000,43,False,False
downsampled,25,0_75000,44,True,False
downsampled,25,0_75000,45,True,False
downsampled,25,0_75000,46,True,False
downsampled,25,0_75000,47,True,False
downsampled,25,0_75000,48,True,False
downsampled,25,0_75000,49,True,False
downsampled,25,0_75000,50,True,False
downsampled,25,0_90000,1,True,False
downsampled,25,0_90000,2,True,False
downsampled,25,0_90000,3,True,False
downsampled,25,0_90000,4,True,False
downsampled,25,0_90000,5,True,False
downsampled,25,0_90000,6,True,False
downsampled,25,0_90000,7,True,False
downsampled,25,0_90000,8,True,False
downsampled,25,0_90000,9,True,False
downsampled,25,0_90000,10,True,False
downsampled,25,0_90000,11,True,False
downsampled,25,0_90000,12,True,False
downsampled,25,0_90000,13,True,False
downsampled,25,0_90000,14,True,False
downsampled,25,0_90000,15,True,True
downsampled,25,0_90000,16,True,False
downsampled,25,0_90000,17,True,False
downsampled,25,0_90000,18,True,False
downsampled,25,0_90000,19,True,False
downsampled,25,0_90000,20,True,False
downsampled,25,0_90000,21,True,False
downsampled,25,0_90000,22,True,False
downsampled,25,0_90000,23,True,False
downsampled,25,0_90000,24,True,False
downsampled,25,0_90000,25,True,False
downsampled,25,0_90000,26,True,False
downsampled,25,0_90000,27,True,False
downsampled,25,0_90000,28,True,False
downsampled,25,0_90000,29,True,False
downsampled,25,0_90000,30,True,False
downsampled,25,0_90000,31,True,False
downsampled,25,0_90000,32,True,True
downsampled,25,0_90000,33,True,False
downsampled,25,0_90000,34,True,False
downsampled,25,0_90000,35,True,False
downsampled,25,0_90000,36,True,False
downsampled,25,0_90000,37,True,False
downsampled,25,0_90000,38,True,True
downsampled,25,0_90000,39,True,False
downsampled,25,0_90000,40,True,False
downsampled,25,0_90000,41,True,False
downsampled,25,0_90000,42,True,False
downsampled,25,0_90000,43,True,False
downsampled,25,0_90000,44,True,False
downsampled,25,0_90000,45,True,False
downsampled,25,0_90000,46,True,False
downsampled,25,0_90000,47,True,False
downsampled,25,0_90000,48,True,False
downsampled,25,0_90000,49,True,False
downsampled,25,0_90000,50,True,False
downsampled,25,0_95000,1,True,False
downsampled,25,0_95000,2,True,False
downsampled,25,0_95000,3,True,False
downsampled,25,0_95000,4,True,False
downsampled,25,0_95000,5,True,False
downsampled,25,0_95000,6,True,False
downsampled,25,0_95000,7,True,False
downsampled,25,0_95000,8,True,False
downsampled,25,0_95000,9,True,False
downsampled,25,0_95000,10,True,False
downsampled,25,0_95000,11,True,False
downsampled,25,0_95000,12,True,False
downsampled,25,0_95000,13,True,False
downsampled,25,0_95000,14,True,False
downsampled,25,0_95000,15,True,False
downsampled,25,0_95000,16,True,False
downsampled,25,0_95000,17,True,False
downsampled,25,0_95000,18,True,False
downsampled,25,0_95000,19,True,False
downsampled,25,0_95000,20,True,False
downsampled,25,0_95000,21,True,False
downsampled,25,0_95000,22,True,False
downsampled,25,0_95000,23,True,False
downsampled,25,0_95000,24,True,False
downsampled,25,0_95000,25,True,False
downsampled,25,0_95000,26,True,False
downsampled,25,0_95000,27,True,False
downsampled,25,0_95000,28,True,False
downsampled,25,0_95000,29,True,False
downsampled,25,0_95000,30,True,False
downsampled,25,0_95000,31,True,False
downsampled,25,0_95000,32,True,False
downsampled,25,0_95000,33,True,False
downsampled,25,0_95000,34,True,False
downsampled,25,0_95000,35,True,False
downsampled,25,0_95000,36,True,False
downsampled,25,0_95000,37,True,False
downsampled,25,0_95000,38,True,False
downsampled,25,0_95000,39,True,False
downsampled,25,0_95000,40,True,False
downsampled,25,0_95000,41,True,False
downsampled,25,0_95000,42,True,False
downsampled,25,0_95000,43,True,False
downsampled,25,0_95000,44,True,False
downsampled,25,0_95000,45,True,False
downsampled,25,0_95000,46,True,False
downsampled,25,0_95000,47,True,False
downsampled,25,0_95000,48,True,False
downsampled,25,0_95000,49,True,False
downsampled,25,0_95000,50,True,False
downsampled,10,0_00000,1,False,False
downsampled,10,0_00000,2,False,False
downsampled,10,0_00000,3,True,True
downsampled,10,0_00000,4,False,False
downsampled,10,0_00000,5,False,False
downsampled,10,0_00000,6,True,True
downsampled,10,0_00000,7,False,False
downsampled,10,0_00000,8,True,True
downsampled,10,0_00000,9,False,False
downsampled,10,0_00000,10,True,True
downsampled,10,0_00000,11,False,False
downsampled,10,0_00000,12,True,False
downsampled,10,0_00000,13,True,True
downsampled,10,0_00000,14,True,True
downsampled,10,0_00000,15,False,False
downsampled,10,0_00000,16,False,False
downsampled,10,0_00000,17,False,False
downsampled,10,0_00000,18,False,False
downsampled,10,0_00000,19,True,False
downsampled,10,0_00000,20,False,False
downsampled,10,0_00000,21,False,False
downsampled,10,0_00000,22,False,False
downsampled,10,0_00000,23,False,False
downsampled,10,0_00000,24,True,True
downsampled,10,0_00000,25,True,False
downsampled,10,0_00000,26,False,False
